name,site_name,most_popular_mainset,most_popular_offset,most_popular_slot2,most_popular_slot4,most_popular_slot6,stats_priority,main_sets,offset_sets,slot2s,slot4s,slot6s,HP_value,ATK_value,DEF_value,SPD_value,CR_value,CD_value,ACC_value,RES_value,error,top_2_sub_stats,top_3_sub_stats,top_4_sub_stats
Fami,Fami,FIGHT,BLADE,SPD,CD,ATK,CR > SPD > ACC > HP > ATK > CD > RES > DEF,FIGHT > RAGE > FATAL > DESPAIR > SWIFT > VIOLENT > REVENGE > VAMPIRE,BLADE > ENERGY > Unknown > FIGHT > WILL > FOCUS > REVENGE > SHIELD > ENDURE > NEMESIS,SPD > ATK > HP,CD > DEF > ATK,ATK > HP > DEF > Unknown,1.42,1.29,1.0,1.64,4.49,1.23,1.44,1.18,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Fao,Fao,ENERGY,ENERGY,HP,HP,HP,ACC > HP > RES > CR > DEF > SPD > ATK > CD,ENERGY > FOCUS > REVENGE > SWIFT > WILL,ENERGY > REVENGE > Unknown > WILL,HP > SPD,HP > CD,HP > ACC > DEF,2.73,1.05,1.46,1.32,1.46,1.0,3.73,1.78,,ACC > HP,ACC > HP > RES,ACC > HP > RES > CR
Federica / Fire Kassandra,Federica / Fire Kassandra,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ATK > HP > CD > ACC > DEF > RES,VIOLENT > SWIFT > NEMESIS > FATAL > BLADE > RAGE,WILL > BLADE > NEMESIS > Unknown > SHIELD > ENERGY,SPD > ATK,CD > ATK > CR,ATK > Unknown,1.34,1.83,1.08,2.85,6.21,1.26,1.09,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Fedora,Fedora,SWIFT,WILL,SPD,HP,HP,SPD > RES > HP > ACC > DEF > CR > ATK > CD,SWIFT > ENDURE > SHIELD > WILL > ACCURACY > DESTROY > ENERGY > FOCUS > GUARD > NEMESIS > RAGE > REVENGE,WILL > SHIELD > ENDURE > ENERGY > FOCUS > NEMESIS > Unknown > GUARD > REVENGE,SPD > HP > DEF > ATK,HP > DEF > CD > CR > ATK > X,HP > DEF > RES > ACC,2.42,1.25,1.52,3.34,1.27,1.0,2.16,2.6,,SPD > RES,SPD > RES > HP,SPD > RES > HP > ACC
Fei,Fei,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ATK > HP > ACC > DEF > CD > RES,VIOLENT > SWIFT > ACCURACY,WILL > BLADE > Unknown > ENDURE > FOCUS > SHIELD > REVENGE,SPD > ATK > HP,CD > CR,ATK > HP,1.6,1.72,1.09,3.19,5.16,1.08,1.42,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Felleria,Felleria,SWIFT,WILL,SPD,HP,HP,SPD > ACC > HP > RES > DEF > CR > ATK > CD,SWIFT > VIOLENT > DESTROY > WILL,WILL > Unknown > ENERGY > ENDURE > NEMESIS > FOCUS > GUARD > SHIELD,SPD > HP,HP > DEF,HP > RES > DEF,2.33,1.17,1.73,3.42,1.26,1.0,2.35,2.08,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > RES
Feng Yan,Feng Yan,VIOLENT,DESTROY,SPD,DEF,DEF,SPD > HP > DEF > CR > RES > ACC > ATK > CD,VIOLENT > DESPAIR,DESTROY > WILL > ENDURE > GUARD > REVENGE > Unknown > SHIELD,SPD > DEF > HP,DEF > HP,DEF > HP > RES,2.73,1.16,1.74,3.73,1.63,1.0,1.39,1.57,,SPD > HP,SPD > HP > DEF,SPD > HP > DEF > CR
Fermion,Fermion,VIOLENT,REVENGE,SPD,CD,DEF,CR > SPD > HP > DEF > ACC > ATK > CD > RES,VIOLENT > REVENGE,REVENGE > DESTROY > WILL > Unknown,SPD > DEF > HP,CD > DEF,DEF > HP > ACC,2.22,1.13,1.73,2.66,6.17,1.03,1.48,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > DEF
Figaro,Figaro,DESPAIR,REVENGE,SPD,HP,HP,SPD > ACC > HP > DEF > ATK > CR > RES > CD,DESPAIR > SWIFT > VIOLENT,REVENGE > WILL > Unknown > FOCUS > SHIELD > DESTROY > ENERGY > NEMESIS,SPD > HP,HP > DEF > ATK > CD > X,HP > ACC > ATK > DEF,2.09,1.48,1.62,3.87,1.45,1.0,3.29,1.33,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Fire Ciri,Fire Ciri,RAGE,BLADE,SPD,CD,ATK,CR > SPD > ATK > ACC > CD > HP > RES > DEF,RAGE > SWIFT > ENDURE > REVENGE,BLADE > Unknown,SPD > ATK,CD > ATK > CR,ATK > DEF,1.5,2.05,1.0,2.25,4.5,1.5,1.55,1.5,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > ACC
Fire Geralt,Fire Geralt,DESPAIR,FOCUS,SPD,CD,HP,ACC > CR > SPD > HP > ATK > DEF > RES > CD,DESPAIR > VIOLENT > ENDURE > FATAL > WILL,FOCUS > WILL > ENDURE > SHIELD > Unknown,SPD,CD > HP > CR > ATK > DEF,HP > ATK > DEF > Unknown,1.75,1.59,1.21,2.19,2.69,1.0,2.8,1.11,,ACC > CR,ACC > CR > SPD,ACC > CR > SPD > HP
Fire Triss,Fire Triss,DESPAIR,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > DEF > RES > CD,DESPAIR > FATAL > NEMESIS > SWIFT,WILL > FOCUS > Unknown > ENDURE,SPD > ATK,CD > ATK > CR > HP,ATK > Unknown > ACC > HP,1.79,1.63,1.18,1.93,2.6,1.0,1.53,1.06,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Fire Yennefer,Fire Yennefer,VIOLENT,Unknown,SPD,HP,HP,RES > ACC > SPD > CR > DEF > HP > ATK > CD,VIOLENT > ENDURE > SWIFT,Unknown > WILL,SPD,HP,HP > DEF,1.62,1.34,1.62,2.44,1.7,1.0,3.0,3.25,,RES > ACC,RES > ACC > SPD,RES > ACC > SPD > CR
Fran,Fran,SWIFT,WILL,SPD,HP,HP,SPD > ACC > HP > DEF > RES > ATK > CR > CD,SWIFT > VIOLENT > FATAL,WILL > Unknown > FOCUS > GUARD > SHIELD,SPD,HP > DEF > ATK > X,HP > DEF > ATK > X > RES,2.16,1.39,1.91,5.19,1.15,1.0,2.49,1.51,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Frederic / Light Altair,Frederic / Light Altair,RAGE,WILL,ATK,CD,ATK,CR > SPD > HP > CD > ATK > RES > ACC > DEF,RAGE > DESTROY > FATAL > NEMESIS > UNKNOWN > VAMPIRE > WILL,WILL > Unknown > BLADE > ENDURE,ATK > SPD,CD > CR,ATK,1.85,1.14,1.0,2.01,5.48,1.47,1.01,1.05,,CR > SPD,CR > SPD > HP,CR > SPD > HP > CD
Fria,Fria,SWIFT,WILL,SPD,CD,RES,SPD > CR > ACC > RES > HP > ATK > DEF > CD,SWIFT > DESPAIR > WILL > ENHANCE > FIGHT > NEMESIS > SHIELD,WILL > Unknown > NEMESIS > ENDURE > FOCUS > DESTROY > DETERMINATION > FIGHT,SPD > ATK > HP,CD > ATK > DEF > CR > X,RES > ATK > ACC > DEF > HP > X,1.35,1.15,1.14,3.13,2.07,1.0,1.83,1.65,,SPD > CR,SPD > CR > ACC,SPD > CR > ACC > RES
Frigate,Frigate,SWIFT,Unknown,SPD,HP,HP,SPD > ACC > HP > DEF > CR > ATK > RES > CD,SWIFT > ENDURE > VAMPIRE > VIOLENT,Unknown > WILL > NEMESIS > BLADE > DESTROY > SHIELD,SPD,HP > CD > ATK > DEF > CR > X,HP > ATK > DEF > ACC > X > RES,2.29,1.38,1.57,5.63,1.51,1.0,2.65,1.31,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Fuco,Fuco,VIOLENT,REVENGE,SPD,CD,ATK,CR > SPD > ACC > HP > ATK > RES > DEF > CD,VIOLENT > SWIFT > VAMPIRE > DESPAIR > REVENGE > BLADE > SHIELD > DESTROY > ENDURE > NEMESIS,REVENGE > DESTROY > SHIELD > WILL > FOCUS > BLADE > Unknown > ENDURE > ENERGY > ENHANCE > NEMESIS > TOLERANCE,SPD > ATK > HP,CD > HP > DEF > CR > ATK,ATK > HP > ACC > DEF,1.47,1.37,1.13,2.39,3.25,1.0,1.91,1.19,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Fudge / Light Madeleine Cookie,Fudge / Light Madeleine Cookie,DESPAIR,Unknown,ATK,CD,ATK,CR > SPD > ACC > ATK > HP > DEF > RES > CD,DESPAIR > UNKNOWN > VIOLENT > REVENGE > FATAL > FIGHT > NEMESIS > RAGE > SWIFT > WILL,Unknown > WILL > REVENGE > BLADE > DESTROY > ENERGY,ATK > SPD > HP > DEF,CD > HP > CR,ATK > HP > DEF,1.35,1.36,1.05,1.91,3.89,1.0,1.54,1.04,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > ATK
Fuuki,Fuuki,VIOLENT,DESTROY,SPD,HP,HP,SPD > HP > ACC > ATK > DEF > RES > CR > CD,VIOLENT > SWIFT,DESTROY > WILL > REVENGE > NEMESIS > ENDURE > ENERGY > Unknown,SPD > HP,HP > ATK,HP > ATK,2.31,1.73,1.73,4.09,1.11,1.0,2.27,1.58,,SPD > HP,SPD > HP > ACC,SPD > HP > ACC > ATK
Fynn,Fynn,ENERGY,BLADE,ATK,CD,ATK,CR > ACC > HP > RES > ATK > CD > SPD > DEF,ENERGY > RAGE > DETERMINATION > FOCUS > SWIFT > VIOLENT,BLADE > Unknown > ENDURE > ENERGY > REVENGE,ATK > SPD,CD > ATK > CR > DEF,ATK,1.83,1.32,1.0,1.26,3.12,1.32,1.89,1.36,,CR > ACC,CR > ACC > HP,CR > ACC > HP > RES
Galleon,Galleon,SWIFT,SHIELD,SPD,CR,ACC,SPD > ACC > CR > HP > ATK > DEF > RES > CD,SWIFT > VIOLENT > DESTROY > WILL,SHIELD > WILL > FOCUS > Unknown > ENDURE > ENERGY > ACCURACY > BLADE > FIGHT > GUARD > REVENGE,SPD > ATK > HP,CR > CD > HP > DEF > ATK > X,ACC > HP > ATK > DEF > RES,1.72,1.63,1.55,4.12,1.82,1.0,2.65,1.22,,SPD > ACC,SPD > ACC > CR,SPD > ACC > CR > HP
Gamir,Gamir,BLADE,Unknown,ATK,CD,ATK,CR > ACC > SPD > HP > ATK > CD > DEF > RES,BLADE > UNKNOWN > VIOLENT > WILL,Unknown > REVENGE > WILL,ATK > SPD,CD > ATK,ATK > DEF > Unknown,1.81,1.53,1.07,2.07,5.8,1.45,2.23,1.0,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Ganache / Water Madeleine Cookie,Ganache / Water Madeleine Cookie,DESPAIR,BLADE,ATK,CD,ATK,CR > SPD > ACC > HP > ATK > DEF > CD > RES,DESPAIR > FATAL > VAMPIRE > BLADE > FOCUS > VIOLENT > DESTROY > SHIELD > SWIFT > UNKNOWN > WILL,BLADE > Unknown > FOCUS > SHIELD > WILL > DESTROY > ENERGY > NEMESIS > REVENGE,ATK > SPD > HP,CD > HP > ATK,ATK > HP > RES > Unknown,1.64,1.35,1.16,2.18,3.12,1.07,1.82,1.0,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Gangchun,Gangchun,VIOLENT,BLADE,ATK,CD,ATK,CR > ACC > HP > RES > SPD > CD > ATK > DEF,VIOLENT > ENERGY > FATAL > RAGE > REVENGE > ENDURE > NEMESIS,BLADE > FOCUS > REVENGE > ACCURACY > DESTROY > ENDURE > NEMESIS > TOLERANCE > WILL,ATK > SPD > HP,CD > ATK > CR > HP,ATK > HP,1.24,1.0,1.0,1.11,2.32,1.06,1.64,1.24,,CR > ACC,CR > ACC > HP,CR > ACC > HP > RES
Ganymede,Ganymede,SWIFT,WILL,SPD,CD,HP,SPD > ACC > HP > CR > DEF > ATK > RES > CD,SWIFT > VIOLENT > WILL,WILL > Unknown > FOCUS > GUARD > ENERGY > SHIELD,SPD > DEF,CD > HP > DEF > CR > ATK > X,HP > ACC > ATK > DEF > X,2.03,1.46,1.55,3.67,2.0,1.0,2.27,1.1,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > CR
Gapsoo,Gapsoo,VIOLENT,DESTROY,SPD,HP,HP,SPD > ACC > HP > RES > DEF > CR > ATK > CD,VIOLENT > ENERGY > REVENGE > DESPAIR > DESTROY > NEMESIS,DESTROY > ENERGY > NEMESIS > Unknown > REVENGE > SHIELD > ENDURE > WILL,SPD > HP > ATK,HP > CD,HP > ATK > DEF > RES,2.1,1.18,1.55,2.39,1.5,1.0,2.27,1.66,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > RES
Garo,Garo,VAMPIRE,NEMESIS,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > DEF > CD > RES,VAMPIRE > SWIFT,NEMESIS > REVENGE > BLADE > Unknown > ENERGY > FOCUS > SHIELD > WILL,SPD > ATK,CD > ATK,ATK > RES,1.76,1.74,1.16,3.3,6.77,1.1,1.26,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Garoche,Garoche,VIOLENT,REVENGE,HP,HP,HP,CR > SPD > ACC > RES > HP > ATK > DEF > CD,VIOLENT > VAMPIRE > DESPAIR > DESTROY > WILL > ACCURACY > ENERGY > FOCUS > REVENGE > SWIFT,REVENGE > BLADE > NEMESIS > WILL > DESTROY > Unknown > ACCURACY > ENERGY > TOLERANCE,HP > SPD > DEF > ATK,HP > CD,HP > DEF > ATK,1.67,1.1,1.03,2.13,2.2,1.0,1.91,1.71,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > RES
Garok,Garok,RAGE,Unknown,ATK,CD,ATK,ACC > CR > CD > SPD > ATK > RES > DEF > HP,RAGE > VIOLENT,Unknown,ATK,CD,ATK > HP,1.0,1.4,1.17,1.56,2.8,2.33,2.8,1.4,,ACC > CR,ACC > CR > CD,ACC > CR > CD > SPD
Geldnir,Geldnir,VIOLENT,SHIELD,SPD,HP,HP,SPD > HP > RES > ACC > DEF > CR > ATK > CD,VIOLENT > DESPAIR > REVENGE > SHIELD > WILL > DESTROY > ENDURE,SHIELD > WILL > REVENGE > NEMESIS,SPD > HP > ATK,HP > CD > DEF,HP > RES > ATK,2.46,1.27,1.73,3.33,1.41,1.0,1.86,2.04,,SPD > HP,SPD > HP > RES,SPD > HP > RES > ACC
Gemini,Gemini,SWIFT,Unknown,SPD,HP,ACC,SPD > ACC > HP > ATK > DEF > RES > CR > CD,SWIFT > DESPAIR,Unknown > NEMESIS > FOCUS > BLADE > ENERGY > GUARD > REVENGE > WILL,SPD,HP > ATK > CR > DEF > CD > X,ACC > HP > ATK > DEF > X,2.0,1.4,1.38,4.48,1.26,1.0,4.15,1.29,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > ATK
Geoffrey,Geoffrey,VAMPIRE,REVENGE,SPD,CD,ATK,ACC > SPD > CR > HP > RES > ATK > DEF > CD,VAMPIRE > BLADE > FATAL > FOCUS > REVENGE > SHIELD > SWIFT > VIOLENT,REVENGE > Unknown > DETERMINATION > ENERGY > SHIELD,SPD > HP > ATK,CD > HP > CR > DEF,ATK > DEF > HP > ACC,1.81,1.18,1.08,2.16,2.09,1.0,2.68,1.37,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Giana,Giana,SWIFT,WILL,SPD,CR,HP,SPD > ACC > HP > CR > ATK > DEF > RES > CD,SWIFT > VIOLENT,WILL > Unknown > ENDURE > ENERGY > FOCUS > NEMESIS > REVENGE,SPD > ATK > HP,CR > HP > ATK > DEF > X,HP > ATK > ACC > DEF,2.15,1.48,1.47,4.54,1.55,1.0,3.58,1.1,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > CR
Gildong,Gildong,SWIFT,FOCUS,ATK,CD,ATK,SPD > HP > CR > ACC > DEF > RES > ATK > CD,SWIFT > DESPAIR > FATAL > FOCUS > BLADE > REVENGE > VIOLENT > WILL > ACCURACY > DESTROY > ENDURE > ENERGY > GUARD > SHIELD > UNKNOWN > VAMPIRE,FOCUS > Unknown > ENDURE > SHIELD > WILL > BLADE > DESTROY > ENERGY > GUARD > ACCURACY > NEMESIS > REVENGE,ATK > SPD,CD > HP > CR > ATK > DEF,ATK > HP > DEF > RES > ACC,2.24,1.38,1.49,2.25,1.93,1.0,1.83,1.4,,SPD > HP,SPD > HP > CR,SPD > HP > CR > ACC
Gin,Gin,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > ATK > ACC > HP > DEF > CD > RES,SWIFT > VAMPIRE > DESPAIR > FIGHT > VIOLENT > BLADE > FOCUS > SHIELD,BLADE > FIGHT > Unknown > FOCUS > WILL > DESTROY > ENDURE > ENERGY > NEMESIS > SHIELD,SPD > ATK,CD > CR,ATK > HP > DEF,1.41,1.53,1.14,2.88,5.38,1.09,1.43,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > ACC
Gina,Gina,DESPAIR,FOCUS,SPD,HP,ATK,ACC > SPD > CR > HP > ATK > DEF > CD > RES,DESPAIR > FATAL > SWIFT > RAGE > VIOLENT > BLADE > ACCURACY > FOCUS > GUARD,FOCUS > BLADE > Unknown > WILL > SHIELD > ACCURACY > ENERGY > FIGHT > GUARD > NEMESIS,SPD > ATK,HP > CD > DEF > ACC > CR,ATK > ACC > HP > DEF > RES > Unknown,1.46,1.29,1.16,2.08,2.03,1.05,3.23,1.0,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Giou,Giou,DESPAIR,WILL,SPD,HP,HP,SPD > ACC > HP > RES > DEF > CR > ATK > CD,DESPAIR > SWIFT > VIOLENT > ENERGY > FOCUS > RAGE > SHIELD,WILL > FOCUS > REVENGE > ENERGY > NEMESIS > SHIELD > Unknown > GUARD,SPD > HP > DEF,HP > DEF > CR,HP > DEF > ACC,1.95,1.3,1.67,3.94,1.46,1.0,2.03,1.89,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > RES
Giselle / Dark Hollyberry Cookie,Giselle / Dark Hollyberry Cookie,VIOLENT,WILL,SPD,DEF,DEF,SPD > HP > ACC > DEF > CR > RES > ATK > CD,VIOLENT > DESPAIR > GUARD > SWIFT > WILL,WILL > GUARD > REVENGE > DESTROY > Unknown,SPD > DEF,DEF > CR > CD > HP,DEF > HP,2.6,1.19,1.82,3.68,1.59,1.0,1.99,1.25,,SPD > HP,SPD > HP > ACC,SPD > HP > ACC > DEF
Glinodon,Glinodon,VAMPIRE,WILL,SPD,CD,DEF,CR > SPD > ACC > DEF > HP > CD > RES > ATK,VAMPIRE > VIOLENT > RAGE > DESTROY > SWIFT > ENERGY > FOCUS > GUARD > REVENGE > SHIELD > WILL,WILL > GUARD > BLADE > REVENGE > Unknown > DESTROY > ENDURE > ENERGY > FOCUS > NEMESIS,SPD > DEF,CD > DEF,DEF > HP,1.59,1.0,1.76,2.12,3.83,1.32,1.87,1.29,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > DEF
Gorgo,Gorgo,DESPAIR,ENERGY,SPD,HP,HP,ACC > SPD > CR > HP > RES > DEF > CD > ATK,DESPAIR > VIOLENT > WILL > ENERGY > VAMPIRE > BLADE > FATAL > FOCUS > NEMESIS > RAGE > REVENGE > SHIELD > SWIFT,ENERGY > REVENGE > WILL > DESTROY > ENDURE > FOCUS > Unknown > BLADE > ENHANCE > GUARD > NEMESIS > SHIELD,SPD > HP > DEF,HP > CD > CR,HP,1.97,1.0,1.23,2.56,2.4,1.16,4.92,1.81,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Granite,Granite,SWIFT,BLADE,HP,HP,HP,ACC > RES > HP > ATK > CR > SPD > DEF > CD,SWIFT > VAMPIRE > VIOLENT,BLADE > ENDURE > REVENGE,HP,HP,HP,1.67,1.33,1.05,1.33,1.33,1.0,4.0,2.86,,ACC > RES,ACC > RES > HP,ACC > RES > HP > ATK
Grego,Grego,VIOLENT,DESTROY,SPD,CD,HP,CR > SPD > HP > ATK > ACC > DEF > CD > RES,VIOLENT > SWIFT > VAMPIRE > DESPAIR > REVENGE > SHIELD,DESTROY > WILL > REVENGE > BLADE > ENERGY > FOCUS > NEMESIS > SHIELD,SPD > HP > ATK,CD > HP > CR,HP > ATK > DEF > ACC,1.88,1.7,1.28,2.93,4.31,1.02,1.58,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Grogen,Grogen,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,SWIFT > RAGE > FATAL > DESPAIR,BLADE > WILL > Unknown > ENERGY,SPD > ATK,CD > ATK > DEF > HP,ATK > HP,1.52,1.97,1.22,3.14,5.64,1.64,1.42,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Groggo,Groggo,VAMPIRE,REVENGE,SPD,DEF,DEF,CR > SPD > ACC > HP > RES > DEF > CD > ATK,VAMPIRE > REVENGE > DESTROY > ENERGY > FOCUS > NEMESIS > SWIFT > VIOLENT > ENDURE > WILL,REVENGE > DESTROY > GUARD > WILL > FOCUS > NEMESIS > Unknown > ENDURE > SHIELD,SPD > DEF > HP,DEF > CD > HP > CR,DEF > HP,1.73,1.0,1.33,2.66,2.71,1.01,2.06,1.39,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Grotau,Grotau,SWIFT,ENERGY,SPD,CR,HP,CR > ACC > SPD > RES > HP > ATK > DEF > CD,SWIFT > VIOLENT > BLADE > FATAL > DESPAIR > ENDURE > NEMESIS > RAGE > REVENGE,ENERGY > BLADE > REVENGE > WILL > NEMESIS > Unknown > ENDURE > ENHANCE > FIGHT,SPD > HP > ATK > DEF,CR > CD > HP > DEF,HP > DEF > ACC > ATK > RES,1.61,1.07,1.03,1.65,2.87,1.0,2.08,1.63,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > RES
Gruda,Gruda,ENERGY,ENERGY,HP,HP,HP,RES > ACC > HP > CR > DEF > SPD > ATK > CD,ENERGY > SHIELD > SWIFT > VIOLENT,ENERGY > Unknown > FOCUS > GUARD > REVENGE > WILL,HP > DEF,HP > DEF > CR,HP,1.72,1.17,1.53,1.28,1.53,1.0,2.62,3.06,,RES > ACC,RES > ACC > HP,RES > ACC > HP > CR
Guillaume,Guillaume,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > DEF > CD > RES,VIOLENT > SWIFT > DESPAIR > FATAL > RAGE,WILL > DESTROY > BLADE > REVENGE > SHIELD > ENERGY,SPD > ATK > HP,CD,ATK > HP,2.15,1.7,1.2,3.12,7.15,1.13,1.29,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Guilles,Guilles,,,,,,,,,,,,,,,,,,,,Failed to process player data for Guilles.,,,
Gunpyeong,Gunpyeong,DESPAIR,BLADE,ATK,CD,ACC,CR > ACC > SPD > HP > RES > ATK > CD > DEF,DESPAIR > ENDURE > FATAL > VIOLENT,BLADE > FOCUS > Unknown > WILL,ATK > HP,CD > CR > HP,ACC > ATK,1.62,1.13,1.0,2.17,2.6,1.04,2.17,1.3,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Gurkha / Dark M. Bison,Gurkha / Dark M. Bison,VIOLENT,REVENGE,SPD,HP,HP,ACC > SPD > HP > RES > DEF > CR > ATK > CD,VIOLENT > REVENGE > VAMPIRE > DESTROY > FOCUS,REVENGE > WILL > DESTROY > ENDURE > FOCUS > NEMESIS > Unknown,SPD > HP,HP > CD > DEF > CR,HP > DEF > RES > ACC,2.13,1.23,1.53,2.74,1.41,1.0,3.31,1.9,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > RES
Haegang,Haegang,DESPAIR,WILL,SPD,HP,HP,SPD > HP > DEF > CR > ACC > RES > ATK > CD,DESPAIR > SWIFT > ENDURE > SHIELD > VAMPIRE,WILL > Unknown > SHIELD > BLADE > ENERGY > FOCUS > GUARD > NEMESIS > REVENGE,SPD > HP > ATK > DEF,HP > DEF > CD > ATK > CR > X,HP > ACC > DEF > ATK > RES,2.14,1.34,1.64,4.09,1.63,1.0,1.57,1.36,,SPD > HP,SPD > HP > DEF,SPD > HP > DEF > CR
Haken,Haken,SHIELD,WILL,SPD,HP,HP,RES > SPD > ACC > HP > DEF > CR > ATK > CD,SHIELD > ENDURE > WILL > GUARD > DESTROY > FIGHT > NEMESIS > SWIFT,WILL > SHIELD > ENDURE > FOCUS > ACCURACY > Unknown,SPD > HP,HP > DEF,HP > RES > DEF,1.79,1.19,1.68,2.92,1.3,1.0,2.74,3.29,,RES > SPD,RES > SPD > ACC,RES > SPD > ACC > HP
Halphas,Halphas,DESPAIR,WILL,HP,HP,HP,RES > HP > SPD > DEF > CR > ACC > ATK > CD,DESPAIR > ENDURE > VAMPIRE > ENERGY > WILL > REVENGE > SHIELD,WILL > ENDURE > REVENGE > ENERGY > BLADE > FOCUS > NEMESIS > DESTROY > Unknown,HP > SPD > ATK > DEF,HP > CD > DEF > CR,HP > ATK > DEF > RES,2.3,1.3,1.59,1.83,1.52,1.0,1.49,3.51,,RES > HP,RES > HP > SPD,RES > HP > SPD > DEF
Han,Han,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ATK > HP > ACC > DEF > CD > RES,VIOLENT > SWIFT > FATAL > WILL,WILL > BLADE > Unknown > FOCUS,SPD > ATK > HP,CD > CR,ATK > HP > DEF,1.62,1.87,1.21,3.14,6.83,1.09,1.58,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Hannah,Hannah,VAMPIRE,BLADE,ATK,CD,ATK,CR > ACC > HP > RES > SPD > ATK > DEF > CD,VAMPIRE > VIOLENT > FATAL > SWIFT,BLADE > DESTROY > NEMESIS > REVENGE > SHIELD,ATK > SPD,CD > DEF,ATK > HP,1.75,1.31,1.11,1.75,3.82,1.0,2.0,1.75,,CR > ACC,CR > ACC > HP,CR > ACC > HP > RES
Hanra,Hanra,VAMPIRE,BLADE,ATK,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,VAMPIRE > RAGE > FATAL > ENDURE > ENERGY > VIOLENT > WILL > BLADE > DESTROY > SWIFT,BLADE > WILL > Unknown > REVENGE > ENERGY > ENHANCE > GUARD,ATK > SPD,CD > ATK > CR > HP,ATK > HP > ACC > DEF > Unknown,1.27,1.79,1.0,1.97,4.95,1.39,1.25,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Hanwul,Hanwul,RAGE,BLADE,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,RAGE > FATAL > SWIFT,BLADE > WILL > Unknown,SPD > ATK,CD,ATK,1.36,2.23,1.14,2.56,7.25,1.81,1.31,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Harmonia,Harmonia,VIOLENT,WILL,SPD,HP,HP,SPD > HP > RES > DEF > ACC > CR > ATK > CD,VIOLENT > SWIFT > WILL,WILL > NEMESIS > ENDURE > SHIELD > BLADE > GUARD,SPD > HP > ATK,HP > CD > CR > DEF > ATK > X,HP > DEF > RES,2.35,1.28,1.76,3.76,1.52,1.0,1.58,1.99,,SPD > HP,SPD > HP > RES,SPD > HP > RES > DEF
Hathor,Hathor,SWIFT,WILL,SPD,HP,HP,ACC > SPD > HP > DEF > RES > ATK > CR > CD,SWIFT > VIOLENT,WILL > Unknown > FOCUS > ENDURE > ENERGY,SPD,HP > DEF > ATK > CD > CR > X,HP > DEF > ACC > ATK,2.12,1.24,1.79,4.12,1.2,1.0,5.28,1.49,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > DEF
